N,minimum,average,median,maximum,allocations,memory_estimate,warps,atomics,package,filter
128,38192.0,40310.6889,39873.5,838614.0,85,3424,false,false,KernelAbstractions.jl,false
256,35869.0,39144.2321,38065.0,2.493798e6,85,3424,false,false,KernelAbstractions.jl,false
512,43475.0,46088.8601,45355.0,590156.0,88,3472,false,false,KernelAbstractions.jl,false
1024,33604.0,35935.3326,35593.0,216449.0,88,3472,false,false,KernelAbstractions.jl,false
2048,87280.0,95064.2296,91864.0,1.719014e6,177,7136,false,false,KernelAbstractions.jl,false
4096,87696.0,95040.0489,93439.0,2.021851e6,177,7136,false,false,KernelAbstractions.jl,false
8192,82282.0,88340.4657,87000.0,382769.0,177,7136,false,false,KernelAbstractions.jl,false
16384,80728.0,86331.5115,84807.0,1.174128e6,177,7136,false,false,KernelAbstractions.jl,false
32768,70718.0,75464.0315,74411.5,166777.0,177,7136,false,false,KernelAbstractions.jl,false
65536,78455.0,84482.7034,82484.0,171986.0,177,7136,false,false,KernelAbstractions.jl,false
131072,79369.0,84893.3324,83284.5,294063.0,176,7120,false,false,KernelAbstractions.jl,false
262144,82469.0,89629.9807,87440.0,738014.0,176,7120,false,false,KernelAbstractions.jl,false
524288,78466.0,83998.3236,82745.0,429042.0,176,7120,false,false,KernelAbstractions.jl,false
1048576,87824.0,93360.8777,92223.0,249850.0,176,7120,false,false,KernelAbstractions.jl,false
2097152,80308.0,85121.826,83358.0,426046.0,176,7120,false,false,KernelAbstractions.jl,false
4194304,79576.0,87888.4859,83775.0,2.921739e6,176,7120,false,false,KernelAbstractions.jl,false
128,51835.0,55558.5181,54375.5,2.23257e6,85,3424,true,false,KernelAbstractions.jl,false
256,43356.0,47558.8283,46274.5,1.78863e6,85,3424,true,false,KernelAbstractions.jl,false
512,32136.0,36720.6595,34823.0,1.368118e6,88,3472,true,false,KernelAbstractions.jl,false
1024,39802.0,43249.51,42510.0,122659.0,88,3472,true,false,KernelAbstractions.jl,false
2048,81412.0,86902.6615,85301.5,1.506067e6,177,7136,true,false,KernelAbstractions.jl,false
4096,85625.0,90753.6589,89256.0,277849.0,177,7136,true,false,KernelAbstractions.jl,false
8192,76349.0,81734.0202,80386.0,165105.0,177,7136,true,false,KernelAbstractions.jl,false
16384,100889.0,107466.9526,104948.5,266554.0,177,7136,true,false,KernelAbstractions.jl,false
32768,89849.0,95696.1397,94015.0,929622.0,177,7136,true,false,KernelAbstractions.jl,false
65536,122225.0,132550.8612,130589.0,2.779164e6,177,7136,true,false,KernelAbstractions.jl,false
131072,104436.0,114728.177,112941.5,2.306489e6,176,7120,true,false,KernelAbstractions.jl,false
262144,112021.0,119314.1354,117938.0,2.259023e6,176,7120,true,false,KernelAbstractions.jl,false
524288,88499.0,94142.2275,92612.5,1.799438e6,176,7120,true,false,KernelAbstractions.jl,false
1048576,74968.0,83575.5198,80287.0,265344.0,176,7120,true,false,KernelAbstractions.jl,false
2097152,89537.0,96122.0106,94484.0,2.255372e6,176,7120,true,false,KernelAbstractions.jl,false
4194304,95475.0,100955.6902,99391.0,2.715899e6,176,7120,true,false,KernelAbstractions.jl,false
128,83547.0,88278.462,87084.0,1.195892e6,85,3424,false,true,KernelAbstractions.jl,false
256,39438.0,41791.5513,41389.0,135614.0,85,3424,false,true,KernelAbstractions.jl,false
512,46175.0,49403.8242,48397.5,964859.0,88,3472,false,true,KernelAbstractions.jl,false
1024,35667.0,38917.4883,38052.0,2.548547e6,88,3472,false,true,KernelAbstractions.jl,false
2048,42703.0,45742.2855,45050.5,161146.0,95,3760,false,true,KernelAbstractions.jl,false
4096,39274.0,43259.1477,42015.0,129040.0,95,3760,false,true,KernelAbstractions.jl,false
8192,41449.0,45453.7411,44280.5,136944.0,95,3760,false,true,KernelAbstractions.jl,false
16384,47170.0,51547.37,50552.0,1.979982e6,95,3760,false,true,KernelAbstractions.jl,false
32768,55226.0,58545.3559,57636.5,167026.0,95,3760,false,true,KernelAbstractions.jl,false
65536,49550.0,53527.4858,52587.0,127233.0,95,3760,false,true,KernelAbstractions.jl,false
131072,53665.0,57830.6863,56288.0,2.002264e6,94,3744,false,true,KernelAbstractions.jl,false
262144,51728.0,55720.9642,54591.5,129144.0,94,3744,false,true,KernelAbstractions.jl,false
524288,65255.0,70296.8918,68275.0,234958.0,94,3744,false,true,KernelAbstractions.jl,false
1048576,77613.0,84650.5539,81200.5,252325.0,94,3744,false,true,KernelAbstractions.jl,false
2097152,68274.0,71539.602,70950.5,167918.0,94,3744,false,true,KernelAbstractions.jl,false
4194304,50229.0,53492.0851,52030.5,147619.0,94,3744,false,true,KernelAbstractions.jl,false
128,39842.0,42448.9286,41951.0,251346.0,85,3424,true,true,KernelAbstractions.jl,false
256,35763.0,37797.5656,37481.0,278796.0,85,3424,true,true,KernelAbstractions.jl,false
512,56463.0,59891.2097,58804.5,325146.0,88,3472,true,true,KernelAbstractions.jl,false
1024,42609.0,45409.9183,44737.5,105704.0,88,3472,true,true,KernelAbstractions.jl,false
2048,57726.0,61220.538,60576.0,585260.0,95,3760,true,true,KernelAbstractions.jl,false
4096,43659.0,48157.6887,46228.0,1.966148e6,95,3760,true,true,KernelAbstractions.jl,false
8192,45440.0,48559.318,47998.0,109763.0,95,3760,true,true,KernelAbstractions.jl,false
16384,57028.0,61272.8179,59429.0,586672.0,95,3760,true,true,KernelAbstractions.jl,false
32768,45211.0,47884.3608,47346.5,106997.0,95,3760,true,true,KernelAbstractions.jl,false
65536,54265.0,57913.8818,57076.0,121840.0,95,3760,true,true,KernelAbstractions.jl,false
131072,48982.0,55616.9178,54633.0,2.35932e6,94,3744,true,true,KernelAbstractions.jl,false
262144,69553.0,75931.786,74121.0,2.453001e6,94,3744,true,true,KernelAbstractions.jl,false
524288,39804.0,43585.6843,42907.0,1.945021e6,94,3744,true,true,KernelAbstractions.jl,false
1048576,42330.0,45751.3397,45230.0,164867.0,94,3744,true,true,KernelAbstractions.jl,false
2097152,59601.0,66409.1543,63264.0,2.538951e6,94,3744,true,true,KernelAbstractions.jl,false
4194304,60877.0,64011.6147,63023.0,227755.0,94,3744,true,true,KernelAbstractions.jl,false
128,29172.0,35894.4437,33730.5,1.179044e6,47,1760,true,false,CUDA.jl,false
256,36520.0,44004.1391,41877.0,3.492158e6,47,1760,true,false,CUDA.jl,false
512,30299.0,35471.4869,32515.5,1.153343e6,48,1776,true,false,CUDA.jl,false
1024,23266.0,33742.2776,29873.0,1.83759e6,48,1776,true,false,CUDA.jl,false
2048,55278.0,76606.1118,72779.0,2.000006e6,100,3904,true,false,CUDA.jl,false
4096,42956.0,67084.5145,62933.5,357547.0,100,3904,true,false,CUDA.jl,false
8192,64402.0,86930.6282,82772.5,2.002533e6,100,3904,true,false,CUDA.jl,false
16384,52807.0,76186.4369,71875.0,2.220309e6,100,3904,true,false,CUDA.jl,false
32768,49095.0,78210.9777,71357.5,2.490659e6,100,3904,true,false,CUDA.jl,false
65536,50383.0,74994.5371,68272.5,2.205436e6,100,3904,true,false,CUDA.jl,false
131072,60123.0,87267.2024,81304.0,2.415829e6,100,3904,true,false,CUDA.jl,false
262144,45802.0,73396.8801,67026.0,1.933548e6,100,3904,true,false,CUDA.jl,false
524288,51276.0,78673.316,72524.0,2.201892e6,100,3904,true,false,CUDA.jl,false
1048576,46564.0,71915.6118,65626.0,1.944461e6,100,3904,true,false,CUDA.jl,false
2097152,45118.0,67771.1026,60537.0,6.275098e6,100,3904,true,false,CUDA.jl,false
4194304,62969.0,77827.9532,68676.5,459240.0,100,3904,true,false,CUDA.jl,false
128,27291.0,41780.5771,34181.0,1.81185e6,47,1760,false,false,CUDA.jl,false
256,28710.0,44168.3976,36186.0,302486.0,47,1760,false,false,CUDA.jl,false
512,32360.0,49113.6274,41521.0,158256.0,48,1776,false,false,CUDA.jl,false
1024,27124.0,45686.5151,38191.0,1.218144e6,48,1776,false,false,CUDA.jl,false
2048,45876.0,82003.2412,74683.5,2.011488e6,100,3904,false,false,CUDA.jl,false
4096,48621.0,83756.0581,76178.5,1.900317e6,100,3904,false,false,CUDA.jl,false
8192,44897.0,79746.0872,72048.0,1.920697e6,100,3904,false,false,CUDA.jl,false
16384,59029.0,76927.0738,65448.0,1.24303e6,100,3904,false,false,CUDA.jl,false
32768,51031.0,89663.5532,81539.5,2.390054e6,100,3904,false,false,CUDA.jl,false
65536,49911.0,89136.2651,81201.5,2.718154e6,100,3904,false,false,CUDA.jl,false
131072,48871.0,86445.4616,78534.5,1.019689e6,100,3904,false,false,CUDA.jl,false
262144,56069.0,102974.038,91842.0,2.54987e6,100,3904,false,false,CUDA.jl,false
524288,57515.0,102495.4338,91453.5,2.480683e6,100,3904,false,false,CUDA.jl,false
1048576,47874.0,91455.1998,78350.5,423187.0,100,3904,false,false,CUDA.jl,false
2097152,45902.0,84775.504,70076.5,2.432896e6,100,3904,false,false,CUDA.jl,false
4194304,53003.0,81031.4009,63486.5,349929.0,100,3904,false,false,CUDA.jl,false
